Time[s], 通道 0, 通道 1, 通道 2, 通道 3, 通道 4, 通道 5
-0.04999305, 1, 1, 1, 1, 0, 1
-0.00000595, 1, 1, 1, 1, 1, 1
-0.00000338, 1, 1, 1, 1, 1, 0
0.00000000, 1, 1, 1, 1, 0, 0
0.00000278, 1, 1, 1, 1, 0, 1
0.00000616, 1, 1, 1, 1, 1, 1
0.00000954, 1, 1, 1, 1, 0, 1
0.00001224, 1, 1, 1, 1, 0, 0
0.00001562, 1, 1, 1, 1, 1, 0
0.00001900, 1, 1, 1, 1, 0, 0
0.00002170, 1, 1, 1, 1, 0, 1
0.00002508, 1, 1, 1, 1, 1, 1
0.00002846, 1, 1, 1, 1, 0, 1
0.00003116, 1, 1, 1, 1, 0, 0
0.00003454, 1, 1, 1, 1, 1, 0
0.00003793, 1, 1, 1, 1, 0, 0
0.00004400, 1, 1, 1, 1, 1, 0
0.00004739, 1, 1, 1, 1, 0, 0
0.00005347, 1, 1, 1, 1, 1, 0
0.00005685, 1, 1, 1, 1, 0, 0
0.00006293, 1, 1, 1, 1, 1, 0
0.00006631, 1, 1, 1, 1, 0, 0
0.00007239, 1, 1, 1, 1, 1, 0
0.00007578, 1, 1, 1, 1, 0, 0
0.00008311, 1, 1, 1, 1, 1, 0
0.00008652, 1, 1, 1, 1, 0, 0
0.00008666, 1, 1, 1, 1, 0, 1
0.00008914, 1, 1, 1, 1, 0, 0
0.00009528, 1, 1, 1, 1, 1, 0
0.00009866, 1, 1, 1, 1, 0, 0
0.00010474, 1, 1, 1, 1, 1, 0
0.00010812, 1, 1, 1, 1, 0, 0
0.00011420, 1, 1, 1, 1, 1, 0
0.00011758, 1, 1, 1, 1, 0, 0
0.00012366, 1, 1, 1, 1, 1, 0
0.00012705, 1, 1, 1, 1, 0, 0
0.00013313, 1, 1, 1, 1, 1, 0
0.00013651, 1, 1, 1, 1, 0, 0
0.00014259, 1, 1, 1, 1, 1, 0
0.00014597, 1, 1, 1, 1, 0, 0
0.00015205, 1, 1, 1, 1, 1, 0
0.00015543, 1, 1, 1, 1, 0, 0
0.00016151, 1, 1, 1, 1, 1, 0
0.00016490, 1, 1, 1, 1, 0, 0
0.00017224, 1, 1, 1, 1, 1, 0
0.00017564, 1, 1, 1, 1, 0, 0
0.00017578, 1, 1, 1, 1, 0, 1
0.00017826, 1, 1, 1, 1, 0, 0
0.00018088, 1, 1, 1, 1, 0, 1
0.00018426, 1, 1, 1, 1, 1, 1
0.00018682, 1, 1, 1, 1, 1, 0
0.00019020, 1, 1, 1, 1, 0, 0
0.00019298, 1, 1, 1, 1, 0, 1
0.00019636, 1, 1, 1, 1, 1, 1
0.00019974, 1, 1, 1, 1, 0, 1
0.00020245, 1, 1, 1, 1, 0, 0
0.00020582, 1, 1, 1, 1, 1, 0
0.00020921, 1, 1, 1, 1, 0, 0
0.00021191, 1, 1, 1, 1, 0, 1
0.00021529, 1, 1, 1, 1, 1, 1
0.00021867, 1, 1, 1, 1, 0, 1
0.00022137, 1, 1, 1, 1, 0, 0
0.00022475, 1, 1, 1, 1, 1, 0
0.00022813, 1, 1, 1, 1, 0, 0
0.00023421, 1, 1, 1, 1, 1, 0
0.00023759, 1, 1, 1, 1, 0, 0
0.00024367, 1, 1, 1, 1, 1, 0
0.00024706, 1, 1, 1, 1, 0, 0
0.00025314, 1, 1, 1, 1, 1, 0
0.00025652, 1, 1, 1, 1, 0, 0
0.00025922, 1, 1, 1, 1, 0, 1
0.00026260, 1, 1, 1, 1, 1, 1
0.00026598, 1, 1, 1, 1, 0, 1
0.00026609, 1, 1, 1, 1, 0, 0
0.00027332, 1, 1, 1, 1, 1, 0
0.00027672, 1, 1, 1, 1, 0, 0
0.00028416, 1, 1, 1, 1, 1, 0
0.00028757, 1, 1, 1, 1, 0, 0
0.00029186, 1, 1, 1, 1, 1, 0
0.00029527, 1, 1, 1, 1, 0, 0
0.00029957, 1, 1, 1, 1, 1, 0
0.00030297, 1, 1, 1, 1, 0, 0
0.00030727, 1, 1, 1, 1, 1, 0
0.00031067, 1, 1, 1, 1, 0, 0
0.00031497, 1, 1, 1, 1, 1, 0
0.00031837, 1, 1, 1, 1, 0, 0
0.00032267, 1, 1, 1, 1, 1, 0
